#FILE:                        13WaT18 20 K min air 7.2.2007.dsu
#FORMAT:                      NETZSCH4                         
#IDENTITY:                    13WaT18 20 K min air             
#DECIMAL:                     POINT                            
#SEPARATOR:                   SEMICOLON                        
#MTYPE:                       TG                               
#INSTRUMENT:                  NETZSCH STA 449C                 
#PROJECT:                     vtt                              
#DATE/TIME:                   7.2.2007 8:22:58                 
#CORR. FILE:                  correction 20Kmin air 800 C.bsu  
#LABORATORY:                  EO                               
#OPERATOR:                    TL                               
#REMARK:                                                       
#SAMPLE:                      13WaT18                          
#SAMPLE MASS /mg:             12.498                           
#MATERIAL:                    Empty crucibles                  
#REFERENCE:                   al2o3                            
#REFERENCE MASS /mg:          40.312                           
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                 
#SAMPLE CRUCIBLE MASS /mg:    0.000                            
#REFERENCE CRUCIBLE MASS /mg: 0.000                            
#PROTECTIVE GAS:              N2                               
#PURGE GAS 1:                 air                              
#FLOW RATE 1 /(ml/min):       40                               
#PURGE GAS 2:                                                  
#FLOW RATE 2:                                                  
#DSC RANGE /æm:               5000                             
#TG RANGE /æm:                5000                             
#CORR. CODE:                  020                              
#EXO:                         +1                               
#RANGE:                       20.0/20.00(K/min)/800.0          
#SEGMENT:                     S1/1                             

##Temp./øC;Mass/%
336.80000;55.80307
337.80000;54.83191
338.80000;53.98050
339.80000;53.12884
340.80000;52.17544
341.80000;51.26026
342.80000;50.35311
343.80000;49.43480
344.80000;48.47841
345.80000;47.61417
346.80000;46.67189
347.80000;45.72890
348.80000;44.74298
349.80000;43.79151
350.80000;42.88257
351.80000;41.78028
352.80000;40.81899
353.80000;39.79947
354.80000;38.63722
355.80000;37.35681
356.80000;35.65074
357.80000;32.78398
358.80000;31.70323
359.80000;31.11918
360.80000;30.55745
361.80000;30.32676
362.80000;30.12177
363.80000;29.93904
364.80000;29.77350
365.80000;29.62212
366.80000;29.48621
367.80000;29.34894
368.80000;29.22113
369.80000;29.09039
370.80000;28.96192
371.80000;28.83476
372.80000;28.70700
373.80000;28.57543
374.80000;28.45559
375.80000;28.33667
376.80000;28.21931
377.80000;28.09837
378.80000;27.98078
379.80000;27.86036
380.80000;27.74112
381.80000;27.62897
382.80000;27.51622
383.80000;27.40054
384.80000;27.28535
385.80000;27.15807
386.80000;27.03998
387.80000;26.92335
388.80000;26.80697
389.80000;26.69130
390.80000;26.57419
391.80000;26.45461
392.80000;26.34002
393.80000;26.22035
394.80000;26.09872
395.80000;25.97516
396.80000;25.85870
397.80000;25.74474
398.80000;25.63075
399.80000;25.51328
400.80000;25.39420
401.80000;25.27445
402.80000;25.15548
403.80000;25.03570
404.80000;24.91292
405.80000;24.79706
406.80000;24.67808
407.80000;24.55817
408.80000;24.44177
409.80000;24.32531
410.80000;24.20918
411.80000;24.09069
412.80000;23.96119
413.80000;23.84212
414.80000;23.72212
415.80000;23.60349
416.80000;23.48592
417.80000;23.36389
418.80000;23.24224
419.80000;23.12134
420.80000;22.99979
421.80000;22.87544
422.80000;22.74810
423.80000;22.61573
424.80000;22.49343
425.80000;22.37036
426.80000;22.24406
427.80000;22.11960
428.80000;21.99257
429.80000;21.86430
430.80000;21.73434
431.80000;21.60571
432.80000;21.47496
433.80000;21.34017
434.80000;21.19868
435.80000;21.06566
436.80000;20.92895
437.80000;20.78195
438.80000;20.63788
439.80000;20.49485
440.80000;20.35532
441.80000;20.21471
442.80000;20.07181
443.80000;19.92446
444.80000;19.77811
445.80000;19.63202
446.80000;19.47935
447.80000;19.32875
448.80000;19.16738
449.80000;19.01366
450.80000;18.85595
451.80000;18.69723
452.80000;18.53617
453.80000;18.37377
454.80000;18.01577
455.80000;17.90014
456.80000;17.78419
457.80000;17.62703
458.80000;17.51864
459.80000;17.20411
460.80000;17.04765
461.80000;16.89841
462.80000;16.74851
463.80000;16.43492
464.80000;16.28010
465.80000;16.15177
466.80000;15.97789
467.80000;15.87769
468.80000;15.50683
469.80000;15.34397
470.80000;15.17480
471.80000;14.99980
472.80000;14.63317
473.80000;14.47728
474.80000;14.33057
475.80000;14.13144
476.80000;13.75452
477.80000;13.59424
478.80000;13.45096
479.80000;13.26211
480.80000;13.07361
481.80000;12.74698
482.80000;12.57203
483.80000;12.39181
484.80000;12.22659
485.80000;11.87352
