#FILE:                        13WaT18 5 K min air 16.2.07.dsu
#FORMAT:                      NETZSCH4                       
#IDENTITY:                    13 WaT18 5 K min air           
#DECIMAL:                     POINT                          
#SEPARATOR:                   SEMICOLON                      
#MTYPE:                       TG                             
#INSTRUMENT:                  NETZSCH STA 449C               
#PROJECT:                     vtt                            
#DATE/TIME:                   16.2.2007 14:13:33             
#CORR. FILE:                  correction 5Kmin air 800 C.bsu 
#LABORATORY:                  EO                             
#OPERATOR:                    TL                             
#REMARK:                                                     
#SAMPLE:                      13 WaT18                       
#SAMPLE MASS /mg:             12.341                         
#MATERIAL:                    Empty crucibles                
#REFERENCE:                   al2o3                          
#REFERENCE MASS /mg:          40.312                         
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3               
#SAMPLE CRUCIBLE MASS /mg:    0.000                          
#REFERENCE CRUCIBLE MASS /mg: 0.000                          
#PROTECTIVE GAS:              N2                             
#PURGE GAS 1:                 air                            
#FLOW RATE 1 /(ml/min):       40                             
#PURGE GAS 2:                                                
#FLOW RATE 2:                                                
#DSC RANGE /æm:               5000                           
#TG RANGE /æm:                5000                           
#CORR. CODE:                  020                            
#EXO:                         +1                             
#RANGE:                       20.0/5.00(K/min)/800.0         
#SEGMENT:                     S1/1                           

##Temp./øC;Mass/%
305.94700; 60.89780
306.94700; 59.78445
307.94700; 58.40302
308.94700; 57.10018
309.94700; 55.74884
310.94700; 54.28696
311.94700; 52.74650
312.94700; 51.14707
313.94700; 49.56287
314.94700; 47.81643
315.94700; 46.06673
316.94700; 44.27079
317.94700; 42.00799
318.94700; 37.62247
319.94700; 36.38377
320.94700; 35.79395
321.94700; 35.36071
322.94700; 34.98197
323.94700; 34.63985
324.94700; 34.34202
325.94700; 34.04115
326.94700; 33.77904
327.94700; 33.49499
328.94700; 33.23470
329.94700; 32.97118
330.94700; 32.72669
331.94700; 32.49132
332.94700; 32.23171
333.94700; 31.99959
334.94700; 31.75124
335.94700; 31.52324
336.94700; 31.29362
337.94700; 31.05602
338.94700; 30.83366
339.94700; 30.61845
340.94700; 30.39078
341.94700; 30.17729
342.94700; 29.96007
343.94700; 29.74704
344.94700; 29.53633
345.94700; 29.33095
346.94700; 29.12279
347.94700; 28.92463
348.94700; 28.73265
349.94700; 28.52778
350.94700; 28.33411
351.94700; 28.12994
352.94700; 27.95617
353.94700; 27.76139
354.94700; 27.57502
355.94700; 27.38211
356.94700; 27.21043
357.94700; 27.02249
358.94700; 26.84880
359.94700; 26.66711
360.94700; 26.48137
361.94700; 26.31244
362.94700; 26.13356
363.94700; 25.95116
364.94700; 25.78876
365.94700; 25.61760
366.94700; 25.44787
367.94700; 25.26909
368.94700; 25.09670
369.94700; 24.92589
370.94700; 24.75325
371.94700; 24.58728
372.94700; 24.42123
373.94700; 24.24712
374.94700; 24.08581
375.94700; 23.90747
376.94700; 23.74785
377.94700; 23.58603
378.94700; 23.40452
379.94700; 23.24621
380.94700; 23.06957
381.94700; 22.91654
382.94700; 22.73578
383.94700; 22.57980
384.94700; 22.39885
385.94700; 22.23885
386.94700; 22.06838
387.94700; 21.89664
388.94700; 21.72907
389.94700; 21.55404
390.94700; 21.38367
391.94700; 21.21694
392.94700; 21.04997
393.94700; 20.87576
394.94700; 20.69752
395.94700; 20.51874
396.94700; 20.34267
397.94700; 20.16383
398.94700; 19.97794
399.94700; 19.79177
400.94700; 19.60103
401.94700; 19.42659
402.94700; 19.24108
403.94700; 19.05045
404.94700; 18.85812
405.94700; 18.66138
406.94700; 18.46410
407.94700; 18.25517
408.94700; 18.05489
409.94700; 17.85399
410.94700; 17.63354
411.94700; 17.42502
412.94700; 17.21039
413.94700; 16.97884
414.94700; 16.75253
415.94700; 16.51263
416.94700; 16.28228
417.94700; 16.03933
418.94700; 15.77762
419.94700; 15.51094
420.94700; 15.24735
421.94700; 14.96904
422.94700; 14.67994
423.94700; 14.38095
424.94700; 14.07646
425.94700; 13.76015
426.94700; 13.41764
427.94700; 13.06441
428.94700; 12.69011
429.94700; 12.27314
430.94700; 11.82881
431.94700; 11.32521
432.94700; 10.65733
433.94700;  9.18096
434.94700;  7.97862
435.94700;  7.03149
436.94700;  6.03306
437.94700;  4.81679
438.94700;  3.78084
439.94700;  2.84844
440.94700;  2.64469
441.94700;  2.51158
442.94700;  2.39167
443.94700;  2.27349
444.94700;  2.15748
445.94700;  2.04149
446.94700;  1.91415
447.94700;  1.78652
448.94700;  1.67772
449.94700;  1.58548
