#FILE:                        13WaT18 10 K min air 14.2.07.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 10 K min air           
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       TG                              
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   14.2.2007 8:09:24               
#CORR. FILE:                  correction 10Kmin air 800 C.bsu 
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             11.943                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                                                 
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/10.00(K/min)/800.0         
#SEGMENT:                     S1/1                            

##Temp./øC;Mass/%
382.25233;    23.68784
383.25233;    23.52238
384.25233;    23.35520
385.25233;    23.19101
386.25233;    23.02040
387.25233;    22.85853
388.25233;    22.68882
389.25233;    22.52601
390.25233;    22.35953
391.25233;    22.19630
392.25233;    22.03315
393.25233;    21.86275
394.25233;    21.69423
395.25233;    21.52709
396.25233;    21.36178
397.25233;    21.18971
398.25233;    21.02033
399.25233;    20.85113
400.25233;    20.68121
401.25233;    20.50323
402.25233;    20.32773
403.25233;    20.15403
404.25233;    19.97732
405.25233;    19.80489
406.25233;    19.62657
407.25233;    19.44904
408.25233;    19.25828
409.25233;    19.07510
410.25233;    18.88324
411.25233;    18.69557
412.25233;    18.50025
413.25233;    18.30845
414.25233;    18.11218
415.25233;    17.90799
416.25233;    17.70793
417.25233;    17.49844
418.25233;    17.28797
419.25233;    17.06784
420.25233;    16.84627
421.25233;    16.62156
422.25233;    16.38699
423.25233;    16.14876
424.25233;    15.89973
425.25233;    15.64399
426.25233;    15.37679
427.25233;    15.10688
428.25233;    14.83106
429.25233;    14.54103
430.25233;    14.23386
431.25233;    13.91385
432.25233;    13.57891
433.25233;    12.97719
434.25233;    12.53220
435.25233;    12.00593
436.25233;    11.42276
437.25233;    10.84191
438.25233;    10.23897
439.25233;     9.71671
440.25233;     9.21033
441.25233;     8.71698
442.25233;     8.20377
443.25233;     7.71856
444.25233;     7.25666
445.25233;     6.78616
446.25233;     6.34406
447.25233;     5.91422
448.25233;     5.47395
449.25233;     5.06301
450.25233;     4.66399
451.25233;     4.27969
452.25233;     3.87788
453.25233;     3.52377
454.25233;     3.20821
455.25233;     2.95294
456.25233;     2.71412
457.25233;     2.41994
458.25233;     2.15601
459.25233;     1.89999
460.25233;     1.67427
461.25233;     1.48365
462.25233;     1.30946
463.25233;     1.16164
464.25233;     1.02728
465.25233;     0.89822
466.25233;     0.78712
467.25233;     0.69407
468.25233;     0.60861
469.25233;     0.52954
470.25233;     0.46264
471.25233;     0.40045
472.25233;     0.34009
473.25233;     0.29264
474.25233;     0.24533
475.25233;     0.20787
476.25233;     0.17164
477.25233;     0.14064
478.25233;     0.11970
479.25233; 9.4601e-002
480.25233; 7.5408e-002
481.25233; 6.2891e-002
482.25233; 5.4583e-002
483.25233; 3.7970e-002
484.25233; 3.1125e-002
485.25233; 2.2848e-002
486.25233; 1.9373e-002
487.25233; 1.6932e-002
488.25233; 1.5296e-002
489.25233; 1.5903e-002
490.25233; 1.5293e-002
491.25233; 1.3419e-002
492.25233; 1.5030e-002
493.25233; 1.8054e-002
494.25233; 2.0460e-002
495.25233; 2.3256e-002
496.25233; 2.7082e-002
