Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²)
Total smoke release (m²/m²),87.8677742397492,27,124.800143911899,13.1304998995758,-4.26120371976734,0.269493416666665,9.50459958618414,0,0,0.483442250915897,22.6792144141968,-0.0491785539381333,22.8631259083473,23.3509580415368,-0.0011483663495528,-0.040501035111547,0.0035743584878528,0.126061877966171,0,0,0.218234717070817,0.840240191594586,17.9052685524406
Total smoke production (m²),2.49140287079385,28,137.251465815839,12.6560268464659,4.02970769773502,0.307492083333326,10.8447514753942,0,0,0.614468055779766,22.0002337110465,0.054022528144552,22.3954752789315,22.9367868879687,0.00123910321520088,0.043701178500419,0.00419391009545324,0.14791246721638,0,0,0.240539015671405,1.0696270579657,21.9452877064202
MAHRE (kW/m²),178.35334679243,29,149.50347935411,15.5527895214811,5.2619590843892,0.272557000000009,9.61264724553885,0,0,0.757845528364741,21.4750834659531,0.0631663901290643,22.0972373037242,22.7048558455458,0.00143418378216391,0.050581356498692,0.00553055359413564,0.195053734715936,0,0,0.262582095992672,1.32118761379773,26.1326044263704
,,30,160.517005845741,12.6692556698455,6.13252154674494,0.359239666666672,12.6698055535964,0,0,0.912855770964667,21.0703394641153,0.0974308098547292,21.933241944334,22.6113792912489,0.00220304499627884,0.0776978555504986,0.00734916798335701,0.259193340740531,0,0,0.282484607774989,1.59372096568157,30.4285256988222
Test Averages,,31,170.310090467275,13.899976507329,8.14652255443043,0.347408666666663,12.2525452023229,0,0,1.07826931912117,20.694482704344,0.125540202632494,21.7886742692116,22.5439538829613,0.00283017253860457,0.0998156358399017,0.00986577675079872,0.347950086435731,0,0,0.300273378576641,1.88509995885738,34.7828812619734
HRR(60) (kW/m²),126.027278091285,32,178.718639408124,14.3854456159347,9.47839520090361,0.352258000000001,12.4235733935248,0,0,1.25278368405887,20.3133794045307,0.148631550950605,21.6323202882105,22.4638746977048,0.00333884053667992,0.117755538431259,0.012950283288441,0.456735673571311,0,0,0.315641128925202,2.1930572126083,39.1494901268398
HRR(120) (kW/m²),170.183087477326,33,186.364222256286,12.0808622413757,9.85447758054329,0.437400166666663,15.4264007429873,0,0,1.43532511489108,20.015493819853,0.191759604566981,21.5583848909542,22.4778839415939,0.00431035013614253,0.152019120270245,0.0167748786248522,0.591623002922063,0,0,0.329656623377768,2.51570608875979,43.4947004512448
HRR(180) (kW/m²),171.011463126672,34,193.56742969755,14.8494425832826,9.94281538597816,0.369603833333322,13.0353330511858,0,0,1.625290940868,19.7937683477354,0.162879329262236,21.5573061920357,22.5621182100183,0.00367490268078306,0.12960791002268,0.020767505033315,0.732436518068526,0,0,0.342885491296579,2.85197714609696,47.8026747314117
HRR(240) (kW/m²),176.685083144354,35,199.919160659227,14.7017549654676,14.3206342482586,0.385566750000002,13.598319461099,0,0,1.82203423604639,19.6267004764406,0.243354959280138,21.5998598125638,22.6893276445772,0.0055215604050398,0.194736559393376,0.0253657365762264,0.894608752776554,0,0,0.35457540820902,3.20070759584976,52.0581210298967
HRR(300) (kW/m²),165.650145678147,36,204.094860709456,12.2975335054402,10.9393991862082,0.470574500000012,16.5964061508081,0,0,2.02404124673073,19.4301966927767,0.226064400948644,21.6002478802885,22.7713973573395,0.00514780230235049,0.181554711940131,0.0307004179299216,1.08275438844331,0,0,0.362331935858126,3.55916126788333,56.2233679647424
