Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²)
,,2010,0.545947848624857,0.492869706277448,-43.6858963890057,0.0314075000000005,1.107692036397,0,0,71.7910799641424,23.5103688043351,-0.0557543014960948,24.1299788063162,24.6091288747258,-0.00137206479083772,-0.048390519532966,2.49177434861644,87.8808756653891,0,0,0.000939243363572412,126.364988077371,35.716955206041
,,2011,0.437784360655561,0.614375141861557,-120.774863907734,0.0202041666666665,0.712568479462034,0,0,71.791571830247,23.530262322198,-0.099067861091753,24.1484645332639,24.6311513405527,-0.00244015547953582,-0.0860603611319679,2.49177434861644,87.8808756653891,0,0,0.000753149689318692,126.365834273898,35.6994390006201
,,2012,0.315604973579521,0,0,-0.0554690000000004,-1.95630246173381,0,0,71.7919485249141,23.5946687564043,-0.0678305431053494,24.2148971237926,24.6967005377773,-0.00167519061038761,-0.0590812799036331,2.49177434861644,87.8808756653891,0,0,0.000542947945399699,126.366482322715,35.6818829646691
,,2013,0.377842476731018,0,0,-0.00534249999999958,-0.188421386753177,0,0,71.7922952486393,23.5458343252453,-0.0258097803412094,24.1645123215359,24.6477185668809,-0.000636152202123144,-0.0224360655330163,2.49177434861644,87.8808756653891,0,0,0.000650022752961175,126.367078808064,35.6643294826822
,,2014,0.400826064243398,2.80953126584595,-295.210107177889,0.00404516666666647,0.14266652559309,0,0,71.7926845829098,23.4682335725657,-0.0486089651141764,24.0859357371301,24.5669514340424,-0.00119417408521903,-0.0421166003110332,2.49177434861644,87.8808756653891,0,0,0.000689564757132935,126.367748601819,35.6468145893296
,,2015,0.443817302584208,0.870453128103635,-215.292666662496,0.014456833333333,0.509869271825246,0,0,71.7931069045932,23.4437927002866,-0.126820534063434,24.0597231257378,24.5421628509444,-0.00311245019982853,-0.109771115180522,2.49177434861644,87.8808756653891,0,0,0.000763529297058793,126.368475148846,35.629333451411
,,2016,0.455632550636457,0.491179581048818,-32.5445873084014,0.0263020000000002,0.927629258658397,0,0,71.7935566295198,23.429105686004,-0.0349000215424805,24.0443848966595,24.5268540692351,-0.000855987735385581,-0.0301893113982359,2.49177434861644,87.8808756653891,0,0,0.000783857071599404,126.369248842031,35.6118832487697
,,2017,0.41139205674692,0,0,-0.0299285833333333,-1.05553302297148,0,0,71.7939901418235,23.3802787170264,-0.0570454493621357,23.9950700523922,24.4779901175899,-0.00139635794573983,-0.0492473000543075,2.49177434861644,87.8808756653891,0,0,0.000707743136505924,126.369994642135,35.594442311266
,,2018,0.356813595740554,0.657217242421376,-162.702234305285,0.0153938333333334,0.542915755566532,0,0,71.7943742446497,23.4316850185337,-0.102095360596822,24.0496193946039,24.5320753383429,-0.00250461107785652,-0.0883336064702167,2.49177434861644,87.8808756653891,0,0,0.000613844152547877,126.370655435779,35.5769941747521
,,2019,0.345457667374812,0.356019555749574,-106.785779927781,0.0275128333333334,0.970333403870119,0,0,71.7947253802813,23.4819169188514,-0.119511332963971,24.0998462666289,24.5832699933886,-0.00293797936552307,-0.10361780932225,2.49177434861644,87.8808756653891,0,0,0.00059430707943897,126.371259511395,35.5595469937005
,,2020,0.344946501334622,0,0,-0.0577617500000001,-2.03716406856176,0,0,71.7950705823656,23.4471712477574,0.00161380131666699,24.064186259199,24.5471602273009,3.96142394952538E-05,0.00139713054578732,2.49179415573619,87.881574230662,0,0,0.000593427696448971,126.371853378783,35.542114149686
,,2021,0.433211565190033,0.434960365417782,-62.2956483706078,0.02824,0.995979403258801,0,0,71.7954596613989,23.4531787158433,-0.0716503159254562,24.0696877626612,24.5529846904826,-0.00175922910998597,-0.0620451826897781,2.49181396285594,87.8822727959349,0,0,0.000745282509323068,126.372522733886,35.5247202678866
,,2022,0.500561936098602,0.247582467017888,-46.8493987914076,0.0573260833333336,2.02179880557712,0,0,71.7959265481496,23.4933098277383,-0.109199651510852,24.1105411990632,24.594332509989,-0.00268569253923281,-0.0947200585184739,2.49181396285594,87.8822727959349,0,0,0.000861157013832409,126.373325953648,35.5073820712906
,,2023,0.424177725406465,0,0,-0.0612646666666665,-2.16070630833979,0,0,71.7963889179803,23.4198929120533,-0.0693885929795566,24.035129115932,24.5185358583268,-0.0017013067051281,-0.0600023525826373,2.49181396285594,87.8822727959349,0,0,0.000729740222921552,126.374121402266,35.4900587829858
,,2024,0.354817678742438,1.48695659018059,-131.087592745564,0.00676583333333306,0.238620065364078,0,0,71.7967784156824,23.3438311373784,-0.0362914772709189,23.9574657861375,24.4387076878524,-0.000886916804584326,-0.0312801299493661,2.49181396285594,87.8822727959349,0,0,0.000610410426601611,126.374791477591,35.4727166085387
,,2025,0.344424964230458,0.199362911271583,-60.1421733331898,0.0489851666666668,1.72762808304531,0,0,71.7971280370039,23.4117206206426,-0.120203846808612,24.0258803985602,24.5089858822287,-0.00294607438442187,-0.103903307625798,2.49181396285594,87.8822727959349,0,0,0.000592530471629646,126.37539294804,35.4553718701254
,,2026,0.432702913127509,0,0,-0.030821,-1.08700712421528,0,0,71.7975166009425,23.425641344533,-0.100686808788929,24.0389724150022,24.5230947549219,-0.00246915215250161,-0.0870830271743531,2.49181396285594,87.8822727959349,0,0,0.000744407441536353,126.376061416997,35.4380634752925
,,2027,0.455441960317152,0.500620969412854,-4.91816542388244,0.0257951666666661,0.909754061743179,0,0,71.7979606733793,23.4193053310305,-0.00517472409634571,24.0321389653683,24.5162629816093,-0.000126864896803282,-0.00447432097070191,2.49181396285594,87.8822727959349,0,0,0.000783529185522439,126.37682538531,35.420799542861
,,2028,0.455621374261665,0.460800244185258,-126.897827359825,0.0280353333333336,0.988761138933965,0,0,71.7984162050465,23.4285309850398,-0.145058376443606,24.042402059966,24.5254564164491,-0.00355762288930853,-0.125471640308547,2.49181396285594,87.8822727959349,0,0,0.000783837844087227,126.377609068825,35.4035582865121
,,2029,0.41179073226645,0,0,-0.0353826666666663,-1.2478897745174,0,0,71.7988499110998,23.4131044999876,-0.108750186626161,24.0247152042192,24.5087773285628,-0.00266533410846022,-0.0940020493919807,2.49181396285594,87.8822727959349,0,0,0.000708428986619796,126.37835520224,35.3863232681616
,,2030,0.4011528502573,6.18840474221832,-819.48309943465,0.00183799999999971,0.0648233053537318,0,0,71.7992563828911,23.487366785664,-0.0612622911095627,24.1005184005201,24.586248889499,-0.00150620993676065,-0.0531216031868748,2.49181396285594,87.8822727959349,0,0,0.000690126946417547,126.379054480207,35.369091814232
,,2031,0.357506413808718,0,0,-0.000324333333333667,-0.0114387152900355,0,0,71.7996357125231,23.477181868828,-0.0457612149761547,24.0894028689386,24.5741915241366,-0.00112454486120121,-0.0396608895112229,2.49181396285594,87.8822727959349,0,0,0.000615036041884492,126.379707061701,35.351863964807
,,2032,0.301573311560434,0,0,-0.00111224999999967,-0.0392272695210435,0,0,71.7999652523858,23.4506183681948,-0.124514555621701,24.0626114500539,24.5470507799093,-0.00305646511968373,-0.107796611401698,2.49181396285594,87.8822727959349,0,0,0.000518807921734582,126.380273983683,35.3346285690875
,,2033,0.422415938732106,11.5174435709378,-1315.46774471695,0.00103991666666658,0.0366761891326298,0,0,71.8003272470109,23.4892672609118,-0.055638424513523,24.1011383415054,24.5869081332626,-0.00136797683219346,-0.0482463438031127,2.49181396285594,87.8822727959349,0,0,0.000726709032369105,126.38089674216,35.3174260929714
,,2034,0.496545501242042,0,0,-0.0458218333333334,-1.61606240154241,0,0,71.8007867277309,23.3048029883579,-0.0274744623439569,23.9116050254355,24.3925042426235,-0.000670170939288768,-0.0236358517065941,2.49181396285594,87.8822727959349,0,0,0.000854247217465779,126.381687220285,35.3002884600447
,,2035,0.422827735474668,0.349923848409731,-79.3303907202977,0.0342613333333337,1.20834215043146,0,0,71.8012464143493,23.4182570217364,-0.110884912448925,24.0282120528493,24.5115850290602,-0.00271796495993172,-0.0958582549175327,2.49181396285594,87.8822727959349,0,0,0.00072741762735825,126.382478052707,35.283167771179
,,2036,0.314237425169267,0.159617247357584,-42.6156655981821,0.0558203333333328,1.9686934236204,0,0,71.8016149469296,23.5191912966603,-0.0966273721472859,24.1304434334682,24.6184968715325,-0.00237882065891237,-0.0838971806063472,2.49181396285594,87.8822727959349,0,0,0.000540595272513803,126.383112059157,35.2660191291403
,,2037,0.376540645974668,0,0,-0.0552326666666664,-1.94796736498083,0,0,71.8019603359652,23.4647087419765,-0.0500565644665454,24.0754085959521,24.5604711917687,-0.0012294128095395,-0.0433594134703923,2.49181396285594,87.8822727959349,0,0,0.000647783143430098,126.383706248365,35.2488759626731
,,2038,0.444378891029411,0,0,-0.00539208333333319,-0.190170111212992,0,0,71.8023707957337,23.4734575263661,-0.0834562448058225,24.0836539903303,24.5705590060966,-0.00205056658742871,-0.0723201871844787,2.49181396285594,87.8822727959349,0,0,0.000764495436117153,126.384412387655,35.2317815484464
,,2039,0.501220264589512,0.252468504332509,-54.033437403309,0.056290583333333,1.98527838517786,0,0,71.8028435953115,23.5015420915201,-0.123642765771065,24.1134667502578,24.5996900180083,-0.00304157371093739,-0.10727141535365,2.49181396285594,87.8822727959349,0,0,0.000862289641657655,126.385225780194,35.2147344753857
,,2040,0.510848304177379,0,0,-0.0420895,-1.48442900472597,0,0,71.8033496295959,23.417198914269,-0.0384706157395287,24.0275905089502,24.5125329243724,-0.000943012234936079,-0.0332585256025985,2.49181396285594,87.8822727959349,0,0,0.000878854800440955,126.386096352415,35.1977204066646
,,2041,0.381683916246672,0,0,-0.0152661666666667,-0.538413157461617,0,0,71.8037958957061,23.4734483418692,-0.0769399409259833,24.0841098051066,24.5670933384294,-0.00189019071018188,-0.0666639878035507,2.49181396285594,87.8822727959349,0,0,0.000656631801240036,126.386864095716,35.1806937264606
,,2042,0.389871756779027,0.18153974074641,-41.080398426597,0.0608925833333335,2.1475835273095,0,0,71.8041816735426,23.5383196388405,-0.101546628139657,24.1496690342829,24.633920696193,-0.0025014915845581,-0.0882235869562706,2.49181396285594,87.8822727959349,0,0,0.000670718392871917,126.387527770813,35.1636541006575
,,2043,0.357809246902689,0,0,-0.0422712499999998,-1.49083903505678,0,0,71.8045555140444,23.5406495772497,-0.0900710418028924,24.1528593212352,24.637758792386,-0.00221914860211858,-0.0782658038413832,2.49181396285594,87.8822727959349,0,0,0.000615556969477882,126.388170908494,35.1466253127971
,,2044,0.389528846264058,0,0,-0.0429192500000003,-1.51369295337519,0,0,71.804929183091,23.5067712935481,-0.0500696244361804,24.1190317791348,24.604497993784,-0.00123193797398952,-0.0434484719612583,2.49181396285594,87.8822727959349,0,0,0.000670128479669715,126.388813751218,35.1296131032735
,,2045,0.531736414417004,0.253780644252214,-31.939541568185,0.0594089999999999,2.09525992805248,0,0,71.8053898157214,23.4924655001791,-0.0771749960142234,24.1039542766515,24.5869300035285,-0.0018974962250243,-0.0669216415681843,2.49181396285594,87.8822727959349,0,0,0.0009147925648643,126.389606211741,35.1126600565875
,,2046,0.523585526209571,0,0,-0.00424683333333305,-0.149778984740532,0,0,71.8059174766917,23.4758864135291,-0.129574713869995,24.087408936909,24.5704426353566,-0.00318370807413546,-0.11228426585792,2.49181396285594,87.8822727959349,0,0,0.000900768999814683,126.390513992523,35.0957563424691
,,2047,0.379200750685402,0,0,-0.0396934999999997,-1.39992593637581,0,0,71.8063688698301,23.474630728204,-0.0360536019248871,24.0874498607402,24.570391256612,-0.000885851105504616,-0.0312425444559715,2.49181396285594,87.8822727959349,0,0,0.00065235966990147,126.391290556858,35.0788318856034
,,2048,0.387144380635114,0.436619680345045,-59.2855794259659,0.0251410833333331,0.886685594037281,0,0,71.8067520423958,23.3628767174866,-0.0609476574873898,23.9727122959094,24.4554713710126,-0.00149050369281314,-0.052567669211157,2.49181396285594,87.8822727959349,0,0,0.000666026348743919,126.391949749867,35.0618906457011
,,2049,0.356154642022518,0.594114324426157,-142.853152824302,0.0169974166666665,0.599471561919535,0,0,71.8071236919071,23.3884120150744,-0.0991938069898146,23.9975896991819,24.4786911036793,-0.00242813456070165,-0.0856364026487146,2.49181396285594,87.8822727959349,0,0,0.000612710521734912,126.392589118302,35.0449603181587
,,2050,0.344592183954205,0,0,-0.0288899999999997,-1.01890385836213,0,0,71.8074740653201,23.4230871064122,-0.100813657728064,24.031907862882,24.5139878165618,-0.00247134477728879,-0.0871603575258795,2.49181396285594,87.8822727959349,0,0,0.000592818147588325,126.393191882637,35.0280361294244
,,2051,0.17029960187391,0.995090141480295,-91.0123069094237,0.0048524999999997,0.171139874444512,0,0,71.807731511213,23.4113964375258,-0.0180253046926736,24.0197807524352,24.5009572269507,-0.000441637219277951,-0.0155758347773842,2.49181396285594,87.8822727959349,0,0,0.00029296798656264,126.393634775704,35.0110831356475
,,2052,0.122928753283937,0.197782549543933,-158.362341347897,0.0176230000000002,0.621534880440155,0,0,71.8078781253906,23.4604020410617,-0.113667693371152,24.0700598485888,24.5524428164591,-0.00279081954157402,-0.0984277188958883,2.49181396285594,87.8822727959349,0,0,0.00021147420601814,126.3938869968,34.9940926536991
,,2053,0.0795198610891049,0,0,-0.00225474999999994,-0.079521407914225,0,0,71.8079793496978,23.4704517911768,-0.0935573073726368,24.0798391255532,24.5625616403607,-0.00229800712924656,-0.0810470173254764,2.49181396285594,87.8822727959349,0,0,0.00013679718639669,126.394061132497,34.977096614563
,,2054,0.0232852084031435,0,0,-0.0156057500000001,-0.550389715736761,0,0,71.8080307522325,23.4770171201486,-0.021267589572332,24.0860431354351,24.5696983531239,-0.00052253826049024,-0.0184290844498215,2.49181396285594,87.8822727959349,0,0,4.00570174802252E-05,126.394149559599,34.9600928686624
,,2055,0.0117802120109704,0,0,-0.0152354166666663,-0.537328654393254,0,0,71.8080482849428,23.3826112577294,-0.108069052553341,23.991505443782,24.4719578832255,-0.00264466130256544,-0.0932729527602962,2.49181396285594,87.8822727959349,0,0,2.02652031526873E-05,126.394179720709,34.9430891897532
,,2056,0.098280254196337,0.166498174823844,-201.222108135385,0.0167367499999998,0.590278267616556,0,0,71.8081033151759,23.3587855811956,-0.137756296079917,23.9670593354341,24.4475513219453,-0.00336780411833486,-0.118777037396306,2.49181396285594,87.8822727959349,0,0,0.000169070903557802,126.394274388762,34.9261202894824
,,2057,0.16642983721947,2.03864417519014,-856.338341393032,0.00231474999999974,0.0816375114622182,0,0,71.8082356702216,23.3755263331469,-0.0810198115330778,23.9836403565596,24.4657342226725,-0.0019822091757393,-0.0699093311610106,2.49181396285594,87.8822727959349,0,0,0.000286310664026562,126.394502079546,34.9092054789604
,,2058,0.0898488053119375,0,0,-0.0132008333333332,-0.465572170887112,0,0,71.8083638095428,23.4392204942258,-0.0512139571423704,24.049721542726,24.5331953947351,-0.00125644201751136,-0.0443126901852071,2.49181396285594,87.8822727959349,0,0,0.000154566164346102,126.39472251796,34.8923050580869
,,2059,0.0673225972976866,0.28275989489376,-482.622992872309,0.00675083333333326,0.238091039477085,0,0,71.8084423952441,23.4426028258005,-0.132784516597629,24.0512007137787,24.536801964557,-0.00325810738771544,-0.11490821004851,2.49181396285594,87.8822727959349,0,0,0.000115814184425956,126.394857708135,34.8753969865197
,,2060,0.023936972955008,0.127907454636763,-40.2244037557401,0.00530624999999977,0.187142907526267,0,0,71.8084880250293,23.4670770256316,-0.00868993983219977,24.0763102929846,24.5618205131872,-0.000213440742428887,-0.0075277118723597,2.49181396285594,87.8822727959349,0,0,4.11782367273947E-05,126.394936204345,34.8584893325385
,,2061,0.0551594721576144,0,0,-0.0181789999999998,-0.641144106651612,0,0,71.8085275732518,23.4164163364597,-0.0396728170439959,24.0244006930832,24.5076030737761,-0.000972285652932789,-0.0342909519973474,2.49181396285594,87.8822727959349,0,0,9.48899746069841E-05,126.395004238451,34.8415951350082
,,2062,0.0675242894856113,0.04205904273619,-64.3388031410625,0.0455213333333335,1.60546424960618,0,0,71.8085889151326,23.5128346653963,-0.119030046774324,24.1206594659333,24.6054520133465,-0.00292878810405203,-0.103293648305425,2.49181396285594,87.8822727959349,0,0,0.000116161152861328,126.395109764015,34.8247278928868
,,2063,0.19839132424188,1.45777456625971,-325.36541714224,0.00385874999999973,0.136091909430758,0,0,71.8087218729395,23.5419005053105,-0.0509665701519157,24.1490768958976,24.6338688213717,-0.00125550380339753,-0.0442796008816227,2.49181396285594,87.8822727959349,0,0,0.000341295598839147,126.395338492391,34.8079117173725
,,2064,0.147336950979263,0,0,-0.0605379999999998,-2.13507794314735,0,0,71.8088947370771,23.4900374789739,-0.041073620772128,24.0958097447652,24.579134611834,-0.00100955405395356,-0.0356053485911531,2.49181396285594,87.8822727959349,0,0,0.000253464375453081,126.395635872378,34.7911311710645
,,2065,-0.00940130813475092,-0.00403077704077268,-37.5579692861078,0.0661323333333337,2.33238108673675,0,0,71.8089684055526,23.4915787703106,-0.101044217273435,24.0986545479368,24.5812794752085,-0.00248379614415199,-0.0875994972191575,2.49181396285594,87.8822727959349,0,0,-1.61727913504459E-05,126.395762604565,34.7743188404613
,,2066,-0.00011387154665863,-0.000134383228034385,-105.445520761834,0.0240261666666665,0.847364275469651,0,0,71.8089684055526,23.5154840310407,-0.102962563322541,24.1229778301423,24.6055612285113,-0.00253345165607726,-0.0893507673018712,2.49181396285594,87.8822727959349,0,0,-1.95890070556014E-07,126.395762604565,34.7574871275666
,,2067,0.0118302576596765,0,0,-0.0659185000000002,-2.32483952881428,0,0,71.8089743206814,23.4819471565864,-0.0125888286561502,24.0878432184867,24.5702702681736,-0.000309310922441338,-0.0109088990068892,2.49181396285594,87.8822727959349,0,0,2.0351295426493E-05,126.395772780213,34.7406745624971
,,2068,0.144369234502227,0.0772599624420434,-41.5352961627383,0.0529827499999997,1.86861642096352,0,0,71.8090524204275,23.4983187136542,-0.0895103534853573,24.1039718749021,24.5854711447018,-0.00220065421276631,-0.0776135364592759,2.49181396285594,87.8822727959349,0,0,0.000248358906135967,126.395907135314,34.7239131626826
,,2069,0.1788912268734,0.209628019662623,-123.285254112416,0.0241965833333337,0.853374597352531,0,0,71.8092140506582,23.5140585311654,-0.121244419479558,24.120250530607,24.603869915887,-0.00298308192490228,-0.105208504087687,2.49181396285594,87.8822727959349,0,0,0.000307748541876332,126.396185189038,34.7072083376792
,,2070,0.090527078332651,0,0,-0.0921727499999997,-3.25078472173237,0,0,71.8093487598108,23.526297492977,-0.0633625306606576,24.1320056660882,24.6168093440513,-0.00155978333683001,-0.0550110508862952,2.49181396285594,87.8822727959349,0,0,0.000155732998602242,126.396416929808,34.6905066472516
,,2071,0.0675966961814171,0.105466654510307,-78.1026153462078,0.0181729166666664,0.640929557264105,0,0,71.8094278216981,23.5380476173595,-0.0576248580297884,24.1459243827026,24.6309035486321,-0.00141935232013534,-0.0500582746750136,2.49181396285594,87.8822727959349,0,0,0.000116285713153984,126.396552939164,34.6737942161748
,,2072,0.0232695816948434,0.0138006184972783,-66.4077472286355,0.0478084166666667,1.68612600221015,0,0,71.809473254837,23.4612616889778,-0.129321300743883,24.0677532885396,24.5500875040607,-0.00317484924940129,-0.111971829350402,2.49181396285594,87.8822727959349,0,0,4.00301352072949E-05,126.396631097088,34.6570816866974
,,2073,0.0561369827279696,0,0,-0.0288335000000002,-1.01691119418778,0,0,71.8095129581192,23.4774266194813,-0.122078063332836,24.0839372518532,24.5674014842106,-0.00299914079431267,-0.105774874596624,2.49181396285594,87.8822727959349,0,0,9.65715808287638E-05,126.396699397946,34.6403825171824
,,2074,0.155944112930704,0,0,-0.0066486666666669,-0.234487785380084,0,0,71.809618998667,23.4627150851361,-0.0140869278629163,24.0689785273626,24.5516747838172,-0.000345857671593413,-0.0121978440993656,2.49181396285594,87.8822727959349,0,0,0.00026827160855726,126.396881819541,34.6237314361943
,,2075,0.221805057213057,0,0,-0.00558150000000005,-0.196850532552728,0,0,71.8098078732521,23.4286491946567,-0.087832645997523,24.0347620863578,24.5176862086494,-0.00215345325344265,-0.0759488345010458,2.49181396285594,87.8822727959349,0,0,0.000381575769572753,126.39720674323,34.6071363244589
,,2076,0.146012685081679,0.157437060932287,-89.3147933302717,0.0262965000000003,0.927435282499835,0,0,71.8099917821233,23.4900752361667,-0.095552555985311,24.0966465914872,24.5798392161333,-0.00234866646280952,-0.0828336905836749,2.49181396285594,87.8822727959349,0,0,0.000251186193465118,126.397523124211,34.5905548083445
,,2077,0.034440084690772,0.0870870332711464,-186.938265697797,0.0112130833333335,0.395467423761497,0,0,71.8100820085081,23.5051642697188,-0.0852242107768977,24.1104614515089,24.5957613728522,-0.00209615435145823,-0.0739279943379499,2.49181396285594,87.8822727959349,0,0,5.92465816975554E-05,126.397678340599,34.573944154313
,,2078,0.0554579442748319,0,0,-0.0556404166666669,-1.96234805200913,0,0,71.8101269575226,23.4669886189078,0.00114004393060608,24.0698409397483,24.5532231137818,2.79917529876839E-05,0.000987224130199755,2.49182795873243,87.882766408,0,0,9.54034336597676E-05,126.397755665607,34.5573276985191
,,2079,0.067184709965538,0.0677787360610159,-105.965165631008,0.0281054999999997,0.991235804472023,0,0,71.8101882788498,23.394588665741,-0.121674187099623,23.9968396234341,24.4768757748412,-0.00297820396264226,-0.105036466200263,2.49184195460893,87.8832600200651,0,0,0.000115576978650236,126.397861155813,34.5407351028618
,,2080,0.155767365177957,0.102114431722549,-63.2957633722173,0.0432517500000002,1.52541969387036,0,0,71.8102997548873,23.4878664129501,-0.111397785839759,24.0931836698675,24.5754663146745,-0.00273765253343431,-0.0965526039865384,2.49184195460893,87.8832600200651,0,0,0.000267967536739408,126.398052928071,34.5241825744651
,,2081,0.135382438850192,0,0,-0.0670564166666661,-2.36497202040862,0,0,71.8104453297893,23.5510430464566,-0.0805625491737339,24.1568548605014,24.6415683267225,-0.0019851875600395,-0.070014373987427,2.49184195460893,87.8832600200651,0,0,0.000232898617940475,126.398303361148,34.5076623401198
,,2082,0.0792631422333826,0,0,-0.00758391666666691,-0.267472549434539,0,0,71.8105526525799,23.5909885934739,-0.035794216844968,24.1973603733148,24.6839647009118,-0.000883543185097973,-0.0311611478132882,2.49184195460893,87.8832600200651,0,0,0.000136355544284211,126.398487988229,34.491139602584
,,2083,-0.0199053412315123,-0.0132297118644742,-69.8102629661961,0.0426612499999999,1.50459370811878,0,0,71.810592284151,23.4992262313412,-0.121117858529305,24.1047031765519,24.5892151424229,-0.00297819308096663,-0.105036082421056,2.49184195460893,87.8832600200651,0,0,-3.42425225608133E-05,126.398556166001,34.4746002324297
,,2084,0.044504789241972,0,0,-0.00468141666666666,-0.165106040300016,0,0,71.8106145365456,23.4759666204783,-0.124846847106504,24.0805783838101,24.5640125508069,-0.00306673951925283,-0.10815897295806,2.49184195460893,87.8832600200651,0,0,7.65607868307435E-05,126.398594446395,34.4580683956553
,,2085,0.0672259183077363,0,0,-0.00147158333333327,-0.0519003785474101,0,0,71.8106704018994,23.4089379457457,-0.0526563041633673,24.0125524982568,24.4936784431762,-0.0012897465821836,-0.0454872886429992,2.49184195460893,87.8832600200651,0,0,0.00011564786882285,126.398690550722,34.4415685380812
,,2086,0.24034647326473,0.808236873249412,-177.278260832973,0.00843166666666691,0.297371329148159,0,0,71.8108241880952,23.3824555065997,-0.0610941240007356,23.9847913479019,24.4663660710164,-0.00149475120259006,-0.0527174720529754,2.49184195460893,87.8832600200651,0,0,0.0004134739368112,126.398955111625,34.4251314420399
,,2087,0.202001440018524,0,0,-0.000270083333333485,-0.00952540499871219,0,0,71.8110453620518,23.3789751501757,-0.126568965413725,23.9799636303309,24.4621948194894,-0.00309615469005175,-0.109196398746271,2.49184195460893,87.8832600200651,0,0,0.000347506354289,126.399335601771,34.4087423871834
,,2088,0.0917129381649267,0.53389583535349,-349.379779238325,0.00487066666666654,0.17178058357433,0,0,71.8111922192409,23.4902592858099,-0.0692399298130248,24.0928447833329,24.5770388464968,-0.00170171244474342,-0.0600166623666299,2.49184195460893,87.8832600200651,0,0,0.000157773049910881,126.399588241473,34.3923334383338
,,2089,-0.0195378981412475,0,0,-0.0126852500000002,-0.447388375537851,0,0,71.81123807571,23.4874888793008,-0.0114254960565911,24.0906018297442,24.5746057831161,-0.000280777061467275,-0.00990255559946656,2.49184195460893,87.8832600200651,0,0,-3.36104234620677E-05,126.399667127998,34.3758918505074
,,2090,0.0432494450533222,0.0912806564058694,-271.411320653333,0.0134343333333331,0.473807340528077,0,0,71.8112597004325,23.5131516977853,-0.148192312809045,24.1205852439069,24.6047185780508,-0.00364623015209703,-0.128596676027969,2.49184195460893,87.8832600200651,0,0,7.44012284654921E-05,126.399704328612,34.3594544021208
,,2091,0.0674340248901825,0.141082777475465,-183.845723236091,0.0135524999999999,0.477974888904561,0,0,71.8113150421675,23.4814033608299,-0.101397498544892,24.0880167274558,24.5722941878493,-0.00249156916415711,-0.0878736391393494,2.49184195460893,87.8832600200651,0,0,0.000116005871857301,126.399799532162,34.343048800654
,,2092,0.197787784438193,0,0,-0.0608044166666662,-2.144474030707,0,0,71.8114476530722,23.4702820811497,-0.0545072507982513,24.0776714008657,24.5623175799008,-0.00133882440451395,-0.0472181845423555,2.49184195460893,87.8832600200651,0,0,0.000340257320176965,126.400027663758,34.3266958188681
,,2093,0.190614609055109,0.339723321068062,-119.34182363381,0.0159090833333334,0.561087794784982,0,0,71.8116418542689,23.4630286864724,-0.0773219364580556,24.0704295942225,24.5547266961194,-0.00189861901734226,-0.0669612406483129,2.49184195460893,87.8832600200651,0,0,0.000327916904582317,126.400361750871,34.3103878902384
,,2094,0.134216887075824,0.073777037956815,-72.1334483372385,0.05158225,1.81922303731396,0,0,71.811804270017,23.4320534074691,-0.151731445255099,24.0377899505635,24.5223101858544,-0.00372080556549352,-0.131226830976,2.49184195460893,87.8832600200651,0,0,0.000230893503423872,126.400641156075,34.2940803581743
,,2095,-0.00793363434253628,0,0,-0.0376124166666665,-1.32652947261996,0,0,71.8118713784605,23.4389541433332,-0.0491580887528204,24.0448027108311,24.5307929354205,-0.00120588689629646,-0.0425296923289997,2.49184195460893,87.8832600200651,0,0,-1.36479981728491E-05,126.400756602826,34.2777429014131
,,2096,0.0863886370058213,0.255814180466468,-150.946092525704,0.00957516666666621,0.337700735933773,0,0,71.811914572779,23.4042892353719,-0.0590059597408857,24.0110972558122,24.4947120589609,-0.00144533399361563,-0.0509746065322577,2.49184195460893,87.8832600200651,0,0,0.000148613602791321,126.400830909628,34.2614096244175
,,2097,0.0793242656684856,0.0432210118856855,-57.7595815342078,0.0520385833333335,1.83531718040959,0,0,71.8119974292303,23.4127213974444,-0.122659044134588,24.0200794935231,24.5047303129829,-0.00300572679696634,-0.106007152323,2.49184195460893,87.8832600200651,0,0,0.000136460705637716,126.400973446782,34.2451108389272
,,2098,0.199702248306432,0,0,-0.0449075,-1.58381533469705,0,0,71.8121369424873,23.4618118023767,-0.0654265223844935,24.070709089381,24.5576382588424,-0.00160672086925245,-0.0566664622011867,2.49184195460893,87.8832600200651,0,0,0.000343550887183086,126.401213452578,34.2288545960378
,,2099,0.146918269439616,0,0,-0.0234789166666666,-0.828063647692269,0,0,71.8123102527462,23.4805044620934,-0.0487355389364671,24.0902857693495,24.5759408245994,-0.00119772172095758,-0.0422417197205888,2.49184195460893,87.8832600200651,0,0,0.000252744104440325,126.401511600074,34.2126299441382
,,2100,0.0346639141985203,0.0139474843171647,-27.8736797979544,0.0704686666666671,2.48531659260306,0,0,71.812401043838,23.423839180392,-0.0801207170142435,24.0320162639012,24.5157697491183,-0.00196422105045546,-0.0692749188987607,2.49184195460893,87.8832600200651,0,0,5.96316336535472E-05,126.401667787943,34.1963814494467
