General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,684,20.74649436,129.796261,0,0,1.031751,1.0277,8.626839,0.0234,0,0,893.284,377.501,385.382,1063.671,0,0
,,685,20.74686308,129.914114,0,0,1.032011,1.015499,8.583071,0.022,0,0,900.848,377.499,385.355,1063.643,0,0
,,686,20.74723181,130.423272,0,0,1.032516,1.026024,8.616971,0.024,0,0,894.982,377.464,385.315,1063.679,0,0
,,687,20.74760054,129.865452,0,0,1.031861,1.022594,8.554754,0.0238,0,0,892.258,377.428,385.302,1063.692,0,0
,,688,20.74677016,129.173382,0,0,1.032527,1.016354,8.539882,0.0227,0,0,899.068,377.452,385.283,1063.728,0,0
,,689,20.74686308,127.985042,0,0,1.033143,1.029927,8.531149,0.0236,0,0,907.052,377.407,385.259,1063.781,0,0
,,690,20.74693204,128.658189,0,0,1.033943,1.01954,8.509033,0.0215,0,0,901.846,377.361,385.223,1063.74,0,0
,,691,20.74752215,129.493274,0,0,1.033228,1.022812,8.501003,0.023,0,0,902.246,377.279,385.135,1063.719,0,0
,,692,20.74737084,130.217463,0,0,1.03434,1.03296,8.494079,0.0228,0,0,911.562,377.221,385.07,1063.732,0,0
,,693,20.74909942,129.795354,0,0,1.034535,1.022556,8.451324,0.0218,0,0,912.04,377.219,385.057,1063.727,0,0
,,694,20.74891358,129.992255,0,0,1.033805,1.026245,8.422676,0.0246,0,0,901.012,377.184,385.03,1063.697,0,0
,,695,20.74877568,130.15134,0,0,1.034229,1.02978,8.395648,0.0226,0,0,911.513,377.118,384.925,1063.682,0,0
,,696,20.7484759,129.839784,0,0,1.035137,1.023253,8.396535,0.0202,0,0,912.751,377.06,384.891,1063.641,0,0
,,697,20.7490065,129.713224,0,0,1.035666,1.028413,8.357475,0.0205,0,0,906.629,377,384.817,1063.628,0,0
,,698,20.74884463,129.885497,0,0,1.035185,1.029969,8.376011,0.0224,0,0,914.503,376.976,384.764,1063.631,0,0
,,699,20.74907546,130.461546,0,0,1.03447,1.026134,8.338038,0.0242,0,0,913.331,376.952,384.736,1063.611,0,0
,,700,20.74884463,130.3346,0,0,1.034147,1.029087,8.305209,0.023,0,0,919.882,376.9,384.697,1063.569,0,0
,,701,20.74936579,130.511224,0,0,1.034958,1.027971,8.296151,0.023,0,0,917.898,376.861,384.664,1063.533,0,0
,,702,20.75070776,130.363804,0,0,1.034214,1.020729,8.274382,0.0231,0,0,916.276,376.842,384.64,1063.492,0,0
,,703,20.75069299,130.282754,0,0,1.034128,1.03136,8.251517,0.0215,0,0,902.014,376.82,384.647,1063.429,0,0
,,704,20.75151529,129.716995,0,0,1.034629,1.023846,8.26653,0.0234,0,0,903.757,376.781,384.606,1063.426,0,0
,,705,20.75142573,129.67373,0,0,1.035746,1.020013,8.218461,0.0224,0,0,910.72,376.768,384.614,1063.421,0,0
,,706,20.75045745,129.840267,0,0,1.03483,1.032336,8.194608,0.0204,0,0,907.251,376.784,384.611,1063.444,0,0
,,707,20.75054565,131.13458,0,0,1.03422,1.018146,8.194044,0.0229,0,0,916.995,376.784,384.605,1063.418,0,0
,,708,20.75091798,129.835922,0,0,1.034577,1.02354,8.182878,0.0239,0,0,915.567,376.745,384.576,1063.41,0,0
,,709,20.75278671,129.98832,0,0,1.034657,1.031673,8.144893,0.0212,0,0,914.777,376.708,384.509,1063.408,0,0
,,710,20.75290065,130.623189,0,0,1.034254,1.020839,8.183336,0.0231,0,0,904.721,376.646,384.474,1063.42,0,0
,,711,20.75313147,130.657069,0,0,1.034584,1.027513,8.092239,0.0221,0,0,913.575,376.658,384.471,1063.416,0,0
,,712,20.75260087,131.020542,0,0,1.034376,1.029015,8.087093,0.0214,0,0,911.269,376.615,384.387,1063.465,0,0
,,713,20.75246296,130.457505,0,0,1.033673,1.022317,8.126975,0.0222,0,0,916.205,376.589,384.359,1063.547,0,0
,,714,20.75306252,129.410446,0,0,1.033387,1.028934,8.067308,0.0226,0,0,904.66,376.523,384.31,1063.596,0,0
,,715,20.75379053,130.31612,0,0,1.034254,1.028581,8.019581,0.0226,0,0,912.96,376.494,384.273,1063.675,0,0
,,716,20.75334057,130.300698,0,0,1.034059,1.023757,8.054906,0.0231,0,0,905.945,376.482,384.231,1063.734,0,0
,,717,20.75290065,130.200408,0,0,1.033304,1.029071,8.00547,0.0205,0,0,903.344,376.446,384.226,1063.8,0,0
,,718,20.75433057,130.451631,0,0,1.033153,1.028268,8.062244,0.0227,0,0,890.522,376.416,384.152,1063.787,0,0
,,719,20.75437556,131.111739,0,0,1.032474,1.02053,7.958809,0.024,0,0,896.455,376.356,384.094,1063.809,0,0
,,720,20.75460166,130.205394,0,0,1.032386,1.027974,7.913305,0.0219,0,0,901.234,376.357,384.097,1063.726,0,0
,,721,20.75497399,130.147316,0,0,1.032287,1.020358,7.920082,0.0224,0,0,903.819,376.348,384.118,1063.689,0,0
,,722,20.75534384,130.083507,0,0,1.032377,1.017812,7.856161,0.0225,0,0,901.891,376.347,384.115,1063.691,0,0
,,723,20.75511774,130.799033,0,0,1.032519,1.027086,7.849844,0.0221,0,0,896.665,376.327,384.074,1063.715,0,0
,,724,20.75475019,130.661693,0,0,1.031996,1.015262,7.887063,0.0228,0,0,896.323,376.316,384.07,1063.708,0,0
,,725,20.75497399,130.597374,0,0,1.031646,1.019072,7.817948,0.0212,0,0,894.605,376.262,384.005,1063.662,0,0
,,726,20.75474429,130.44044,0,0,1.030191,1.026678,7.804862,0.0203,0,0,908.679,376.203,383.938,1063.639,0,0
,,727,20.75615061,131.267941,0,0,1.030836,1.019811,7.834757,0.0226,0,0,907.496,376.158,383.914,1063.658,0,0
,,728,20.75681286,131.605015,0,0,1.030159,1.021298,7.76344,0.0231,0,0,891.683,376.144,383.913,1063.661,0,0
,,729,20.75658905,130.337533,0,0,1.029178,1.023323,7.753854,0.0222,0,0,905.966,376.143,383.879,1063.645,0,0
,,730,20.75651898,130.486105,0,0,1.029588,1.018173,7.771089,0.0218,0,0,906.53,376.16,383.895,1063.627,0,0
,,731,20.75651898,131.179398,0,0,1.029632,1.019991,7.66224,0.0219,0,0,893.688,376.15,383.854,1063.556,0,0
,,732,20.75681655,131.050525,0,0,1.028701,1.025739,7.692604,0.0233,0,0,886.629,376.09,383.836,1063.506,0,0
,,733,20.75718748,130.22263,0,0,1.029023,1.018121,7.686181,0.0208,0,0,897.618,376.092,383.813,1063.431,0,0
,,734,20.75695666,130.626216,0,0,1.029217,1.01993,7.650486,0.0215,0,0,888.906,376.081,383.81,1063.418,0,0
,,735,20.75658793,130.654848,0,0,1.028061,1.024873,7.641204,0.0198,0,0,890.418,376.045,383.763,1063.422,0,0
,,736,20.75592887,130.436075,0,0,1.026593,1.016483,7.569621,0.0215,0,0,888.459,375.996,383.71,1063.387,0,0
,,737,20.75695703,130.812845,0,0,1.026684,1.021672,7.503249,0.0202,0,0,887.351,375.899,383.561,1063.28,0,0
,,738,20.75695778,131.314438,0,0,1.026736,1.02089,7.645173,0.0215,0,0,897.45,375.696,383.376,1063.18,0,0
,,739,20.75895039,131.252266,0,0,1.025895,1.01382,7.559333,0.0219,0,0,877.94,375.611,383.263,1063.124,0,0
,,740,20.75887767,130.888216,0,0,1.026285,1.017518,7.531844,0.0189,0,0,881.195,375.627,383.334,1063.059,0,0
,,741,20.75872797,129.521271,0,0,1.026484,1.019094,7.598924,0.0194,0,0,891.366,375.686,383.386,1063.017,0,0
,,742,20.75813117,129.423834,0,0,1.025839,1.011704,7.504409,0.0235,0,0,885.083,375.72,383.369,1063.041,0,0
,,743,20.7585813,130.744456,0,0,1.025988,1.012213,7.497078,0.0223,0,0,892.278,375.676,383.326,1063.052,0,0
,,744,20.75872797,130.767567,0,0,1.025281,1.021169,7.53057,0.022,0,0,897.19,375.599,383.225,1063.072,0,0
,,745,20.75932528,130.826084,0,0,1.025433,1.010725,7.440431,0.0232,0,0,893.986,375.543,383.184,1063.075,0,0
,,746,20.75887531,129.769506,0,0,1.025261,1.01288,7.485638,0.0213,0,0,886.398,375.511,383.158,1063.053,0,0
,,747,20.75842931,130.083353,0,0,1.025221,1.020896,7.454526,0.0234,0,0,886.812,375.478,383.121,1063.052,0,0
,,748,20.75835924,130.44838,0,0,1.02532,1.010297,7.401036,0.0207,0,0,892.794,375.448,383.077,1063.077,0,0
,,749,20.75895879,130.445054,0,0,1.025178,1.020352,7.415256,0.0186,0,0,892.955,375.413,383.002,1063.141,0,0
,,750,20.7590967,130.588801,0,0,1.024203,1.018572,7.365505,0.0198,0,0,899.015,375.367,382.978,1063.251,0,0
,,751,20.7602958,130.165655,0,0,1.024128,1.01207,7.356276,0.0197,0,0,905.238,375.375,382.998,1063.297,0,0
,,752,20.76057161,129.816278,0,0,1.024863,1.019396,7.321402,0.0207,0,0,902.686,375.349,382.979,1063.341,0,0
,,753,20.76027183,130.874656,0,0,1.024627,1.021593,7.297967,0.0209,0,0,903.956,375.349,382.972,1063.35,0,0
,,754,20.76020288,130.850456,0,0,1.024301,1.013074,7.347109,0.0204,0,0,908.125,375.352,382.967,1063.404,0,0
,,755,20.76050266,130.059891,0,0,1.023965,1.014938,7.262631,0.0216,0,0,915.617,375.36,382.998,1063.442,0,0
,,756,20.76116172,130.335513,0,0,1.024708,1.023589,7.256689,0.0201,0,0,925.244,375.352,382.982,1063.433,0,0
,,757,20.76130907,130.265638,0,0,1.024699,1.010473,7.272023,0.0191,0,0,925.526,375.333,382.948,1063.494,0,0
,,758,20.76070952,131.043915,0,0,1.024767,1.014385,7.172859,0.0195,0,0,926.277,375.291,382.905,1063.539,0,0
,,759,20.7599815,130.958263,0,0,1.024056,1.018538,7.22438,0.0183,0,0,921.461,375.261,382.912,1063.532,0,0
,,760,20.76012803,130.940219,0,0,1.024331,1.012735,7.159922,0.0211,0,0,904.248,375.281,382.897,1063.515,0,0
,,761,20.76049242,131.205088,0,0,1.024222,1.013499,7.103021,0.0211,0,0,899.686,375.223,382.863,1063.512,0,0
,,762,20.7626546,131.235079,0,0,1.024672,1.017288,7.148532,0.0196,0,0,913.339,375.237,382.87,1063.49,0,0
,,763,20.76285293,130.868879,0,0,1.025286,1.013527,7.096054,0.0208,0,0,907.469,375.256,382.856,1063.511,0,0
,,764,20.76278398,131.387093,0,0,1.026032,1.019707,7.072675,0.0203,0,0,906.912,375.215,382.84,1063.528,0,0
,,765,20.76188465,129.978883,0,0,1.025686,1.022044,7.107323,0.0193,0,0,898.372,375.242,382.849,1063.571,0,0
,,766,20.76227735,131.215737,0,0,1.026182,1.013854,6.997388,0.0198,0,0,907.022,375.235,382.85,1063.598,0,0
,,767,20.76241525,131.135483,0,0,1.025783,1.019152,7.041522,0.0205,0,0,900.998,375.182,382.817,1063.602,0,0
,,768,20.76301481,131.161308,0,0,1.026174,1.019458,7.014862,0.0211,0,0,904.571,375.169,382.814,1063.642,0,0
,,769,20.76315271,130.718758,0,0,1.026809,1.014863,6.934906,0.0197,0,0,901.413,375.148,382.811,1063.688,0,0
,,770,20.76255316,128.690879,0,0,1.027372,1.023802,7.027129,0.0204,0,0,906.779,375.151,382.814,1063.681,0,0
,,771,20.76241525,129.439391,0,0,1.027452,1.017427,6.950558,0.0195,0,0,902.414,375.132,382.765,1063.673,0,0
,,772,20.76390853,129.228484,0,0,1.027446,1.01796,6.942556,0.0205,0,0,897.925,375.138,382.811,1063.657,0,0
,,773,20.76455867,129.174077,0,0,1.028641,1.022879,6.976643,0.0204,0,0,893.876,375.157,382.804,1063.637,0,0
,,774,20.76432785,130.358061,0,0,1.026877,1.012812,6.829965,0.0193,0,0,898.784,375.135,382.792,1063.661,0,0
,,775,20.76484901,130.680397,0,0,1.028069,1.020704,6.897842,0.0188,0,0,896.488,375.09,382.746,1063.667,0,0
,,776,20.76439904,131.197937,0,0,1.02839,1.021287,6.861193,0.0207,0,0,898.489,375.02,382.695,1063.627,0,0
,,777,20.76396384,131.028739,0,0,1.028461,1.011488,6.799444,0.0202,0,0,894.874,375.029,382.671,1063.643,0,0
,,778,20.76448748,131.1862,0,0,1.029674,1.024441,6.849233,0.0202,0,0,885.703,375.001,382.656,1063.604,0,0
,,779,20.7649274,131.393742,0,0,1.029743,1.018103,6.807984,0.0209,0,0,877.978,375,382.666,1063.557,0,0
,,780,20.76529141,131.788648,0,0,1.029925,1.016042,6.779333,0.0189,0,0,894.113,374.997,382.684,1063.515,0,0
,,781,20.7665597,131.92169,0,0,1.03066,1.027558,6.810919,0.0197,0,0,900.882,375.004,382.671,1063.474,0,0
,,782,20.76654022,130.924914,0,0,1.031264,1.02032,6.740076,0.0207,0,0,899.476,374.978,382.667,1063.369,0,0
,,783,20.76617621,130.883594,0,0,1.031735,1.023588,6.718437,0.0192,0,0,889.409,374.949,382.612,1063.302,0,0
,,784,20.76639642,130.228285,0,0,1.031919,1.026965,6.741891,0.0214,0,0,896.756,374.934,382.588,1063.258,0,0
,,785,20.76706858,129.900282,0,0,1.032503,1.01983,6.69867,0.0186,0,0,905.795,374.934,382.6,1063.171,0,0
,,786,20.76720873,130.262139,0,0,1.031978,1.028189,6.70274,0.0189,0,0,900.17,374.963,382.661,1063.119,0,0
,,787,20.76691367,130.924268,0,0,1.032934,1.026305,6.662664,0.0195,0,0,889.73,374.982,382.7,1063.101,0,0
,,788,20.76624269,131.251042,0,0,1.034074,1.023454,6.628784,0.0202,0,0,888.073,374.964,382.655,1063.089,0,0
,,789,20.76610254,129.944461,0,0,1.03491,1.0298,6.659938,0.0206,0,0,885.947,374.879,382.589,1063.094,0,0
,,790,20.76610254,130.610921,0,0,1.034548,1.028914,6.60497,0.0183,0,0,887.47,374.859,382.575,1063.064,0,0
,,791,20.76639642,130.90567,0,0,1.034329,1.020343,6.58744,0.0194,0,0,880.859,374.83,382.541,1063.018,0,0
,,792,20.76705902,131.691819,0,0,1.034444,1.029594,6.576768,0.0201,0,0,883.074,374.805,382.499,1063.037,0,0
,,793,20.76691007,131.830141,0,0,1.034339,1.0246,6.548155,0.0201,0,0,895.163,374.748,382.445,1063.054,0,0
,,794,20.76654022,131.367386,0,0,1.035173,1.017793,6.56337,0.0178,0,0,888.643,374.7,382.389,1063.051,0,0
,,795,20.76617621,131.383384,0,0,1.035326,1.032194,6.486912,0.0199,0,0,892.783,374.629,382.335,1063.072,0,0
,,796,20.76669985,131.187408,0,0,1.034918,1.023038,6.523379,0.0192,0,0,899.877,374.583,382.268,1063.092,0,0
,,797,20.76713977,130.736223,0,0,1.035668,1.024492,6.499286,0.0184,0,0,895.381,374.563,382.255,1063.119,0,0
,,798,20.76690895,130.574232,0,0,1.036472,1.034328,6.442822,0.0205,0,0,901.109,374.543,382.21,1063.191,0,0
,,799,20.76684,129.772079,0,0,1.034951,1.020808,6.467356,0.0188,0,0,897.296,374.535,382.21,1063.234,0,0
,,800,20.76566449,129.952477,0,0,1.035708,1.025774,6.392208,0.02,0,0,900.557,374.551,382.219,1063.287,0,0
,,801,20.76565896,130.910541,0,0,1.035961,1.029575,6.358011,0.0188,0,0,897.036,374.538,382.211,1063.312,0,0
,,802,20.76662978,130.746315,0,0,1.035856,1.023901,6.422371,0.0202,0,0,904.523,374.549,382.214,1063.321,0,0
,,803,20.76684,130.237081,0,0,1.035557,1.027806,6.315334,0.0183,0,0,902.587,374.527,382.169,1063.355,0,0
,,804,20.76713387,129.982031,0,0,1.034799,1.030464,6.372081,0.0173,0,0,904.244,374.502,382.166,1063.372,0,0
,,805,20.76691485,130.284323,0,0,1.036346,1.027263,6.358951,0.0204,0,0,917.211,374.501,382.142,1063.344,0,0
,,806,20.76624269,130.980296,0,0,1.036061,1.029284,6.275817,0.0198,0,0,909.084,374.46,382.111,1063.36,0,0
,,807,20.76639759,131.313871,0,0,1.03543,1.032634,6.31966,0.0184,0,0,903.433,374.416,382.041,1063.383,0,0
,,808,20.76676514,130.684742,0,0,1.035499,1.021799,6.297844,0.0194,0,0,904.07,374.367,382.011,1063.41,0,0
,,809,20.76654134,131.253844,0,0,1.035989,1.028534,6.210374,0.0207,0,0,901.254,374.355,381.99,1063.399,0,0
,,810,20.76707082,130.95254,0,0,1.035531,1.030576,6.294311,0.0191,0,0,908.018,374.32,381.962,1063.41,0,0
,,811,20.7660285,130.875283,0,0,1.035955,1.020088,6.231756,0.0183,0,0,902.486,374.281,381.908,1063.432,0,0
,,812,20.76573381,131.179593,0,0,1.035381,1.028098,6.175714,0.0156,0,0,906.407,374.244,381.894,1063.466,0,0
,,813,20.76633112,131.468259,0,0,1.034966,1.022935,6.252302,0.0175,0,0,908.884,374.234,381.868,1063.487,0,0
,,814,20.76767037,132.139246,0,0,1.0347,1.021992,6.147037,0.0182,0,0,902.547,374.229,381.847,1063.464,0,0
,,815,20.76883135,132.0618,0,0,1.035344,1.028195,6.122071,0.0187,0,0,907.769,374.175,381.803,1063.463,0,0
,,816,20.76846461,130.933851,0,0,1.033955,1.025048,6.231368,0.0189,0,0,904.682,374.158,381.779,1063.466,0,0
,,817,20.76861357,132.093953,0,0,1.034514,1.021842,6.082117,0.0178,0,0,904.329,374.131,381.743,1063.541,0,0
,,818,20.76808409,131.89616,0,0,1.033965,1.027684,6.085871,0.0175,0,0,897.225,374.108,381.728,1063.508,0,0
,,819,20.76824124,131.280359,0,0,1.033787,1.025806,6.137387,0.0194,0,0,901.58,374.094,381.709,1063.527,0,0
,,820,20.76860879,130.567068,0,0,1.034247,1.017899,6.05254,0.0177,0,0,906.846,374.095,381.691,1063.576,0,0
,,821,20.76868364,130.986531,0,0,1.033617,1.026434,6.071658,0.0185,0,0,913.521,374.075,381.699,1063.58,0,0
,,822,20.76868364,131.924799,0,0,1.033534,1.027527,6.098098,0.0176,0,0,916.325,374.06,381.655,1063.616,0,0
,,823,20.76838976,131.577722,0,0,1.033166,1.02056,6.004066,0.0186,0,0,895.043,374.063,381.685,1063.617,0,0
,,824,20.76802103,131.527077,0,0,1.03286,1.026389,6.026851,0.0191,0,0,914.774,374.073,381.71,1063.613,0,0
,,825,20.76854349,132.118821,0,0,1.033788,1.026506,6.029915,0.0187,0,0,903.77,374.064,381.712,1063.687,0,0
,,826,20.76988274,131.128795,0,0,1.032729,1.021121,5.969043,0.0187,0,0,904.148,374.066,381.692,1063.692,0,0
,,827,20.77074866,130.910696,0,0,1.032202,1.021312,5.973948,0.0198,0,0,903.258,374.059,381.736,1063.711,0,0
,,828,20.7702987,130.877849,0,0,1.032214,1.028612,5.944301,0.0201,0,0,901.943,374.085,381.701,1063.688,0,0
,,829,20.76985878,131.67332,0,0,1.032067,1.015134,5.910599,0.0187,0,0,902.511,374.063,381.708,1063.661,0,0
,,830,20.76978983,131.458287,0,0,1.031748,1.022935,5.90687,0.0165,0,0,895.826,374.039,381.656,1063.662,0,0
,,831,20.77037994,130.371691,0,0,1.031107,1.024197,5.861979,0.018,0,0,885.988,373.997,381.656,1063.625,0,0
,,832,20.77052728,130.594432,0,0,1.029975,1.013693,5.894149,0.0191,0,0,884.193,374.001,381.665,1063.579,0,0
,,833,20.77082594,131.062643,0,0,1.02998,1.026384,5.824176,0.0193,0,0,883.477,374.008,381.688,1063.553,0,0
,,834,20.77119107,130.891324,0,0,1.029925,1.019533,5.849266,0.0183,0,0,885.887,374.013,381.68,1063.544,0,0
,,835,20.77185249,130.552784,0,0,1.029666,1.015381,5.83042,0.0176,0,0,886.311,374,381.663,1063.533,0,0
,,836,20.77229607,130.844874,0,0,1.0297,1.025822,5.778458,0.0183,0,0,897.007,373.998,381.673,1063.52,0,0
,,837,20.77266958,131.196738,0,0,1.028976,1.017346,5.790135,0.0201,0,0,888.782,373.963,381.619,1063.512,0,0
,,838,20.77243988,131.27271,0,0,1.028707,1.018769,5.75898,0.0182,0,0,896.041,373.908,381.569,1063.539,0,0
,,839,20.77297048,130.411441,0,0,1.028428,1.023312,5.71533,0.0157,0,0,903.73,373.874,381.54,1063.516,0,0
,,840,20.77281333,131.630373,0,0,1.027215,1.016816,5.757754,0.0191,0,0,900.451,373.865,381.548,1063.53,0,0
,,841,20.77214234,131.357026,0,0,1.027418,1.017682,5.690185,0.0185,0,0,895.986,373.845,381.521,1063.518,0,0
,,842,20.7720022,131.110711,0,0,1.026736,1.023278,5.694432,0.0183,0,0,901.231,373.827,381.499,1063.468,0,0
,,843,20.77230197,131.534115,0,0,1.025638,1.017879,5.71322,0.0179,0,0,900.174,373.819,381.48,1063.414,0,0
,,844,20.77414126,131.113459,0,0,1.025474,1.019926,5.648665,0.0179,0,0,890.82,373.772,381.424,1063.378,0,0
,,845,20.7745833,131.4882,0,0,1.025187,1.022139,5.656081,0.0192,0,0,893.414,373.737,381.394,1063.37,0,0
,,846,20.77399554,131.313073,0,0,1.02456,1.007219,5.666538,0.0199,0,0,892.025,373.703,381.39,1063.351,0,0
,,847,20.77355196,130.86521,0,0,1.024282,1.016379,5.590854,0.0178,0,0,886.481,373.709,381.4,1063.286,0,0
,,848,20.77406486,131.045865,0,0,1.023328,1.017712,5.621202,0.0189,0,0,898.455,373.708,381.374,1063.314,0,0
,,849,20.77421457,130.619744,0,0,1.023327,1.007992,5.595336,0.0192,0,0,889.672,373.715,381.387,1063.316,0,0
,,850,20.77450962,131.056258,0,0,1.02269,1.017819,5.553309,0.0174,0,0,892.859,373.673,381.371,1063.346,0,0
,,851,20.7745833,130.560324,0,0,1.022587,1.008003,5.587119,0.0183,0,0,905.135,373.662,381.366,1063.315,0,0
,,852,20.7745833,130.928865,0,0,1.022111,1.009735,5.549561,0.0182,0,0,896.281,373.66,381.362,1063.293,0,0
,,853,20.77368397,130.764511,0,0,1.021764,1.018944,5.515161,0.0183,0,0,902.675,373.647,381.315,1063.312,0,0
,,854,20.77436228,131.134033,0,0,1.021549,1.006603,5.558147,0.016,0,0,895.737,373.621,381.28,1063.331,0,0
,,855,20.77546493,131.335961,0,0,1.021256,1.013229,5.481089,0.0187,0,0,904.335,373.573,381.206,1063.322,0,0
,,856,20.77628679,130.968252,0,0,1.020841,1.014022,5.48569,0.0208,0,0,902.425,373.517,381.136,1063.322,0,0
,,857,20.77672672,131.510673,0,0,1.020618,1.007734,5.493402,0.018,0,0,893.409,373.451,381.08,1063.369,0,0
,,858,20.77650061,131.23428,0,0,1.020194,1.017263,5.430756,0.0173,0,0,894.32,373.419,381.035,1063.457,0,0
,,859,20.77553097,131.046491,0,0,1.018625,1.013014,5.457949,0.0158,0,0,899.11,373.423,381.043,1063.465,0,0
,,860,20.77562053,130.56206,0,0,1.018468,1.009124,5.4219,0.0183,0,0,903.466,373.412,381.004,1063.43,0,0
,,861,20.77598926,131.714525,0,0,1.018464,1.014019,5.353862,0.0177,0,0,908.07,373.339,380.97,1063.43,0,0
,,862,20.77665776,131.898093,0,0,1.018195,1.014588,5.427231,0.0161,0,0,903.187,373.347,380.954,1063.468,0,0
,,863,20.77679567,131.830593,0,0,1.018113,1.00222,5.36664,0.0202,0,0,902.488,373.331,380.943,1063.499,0,0
,,864,20.77619836,131.7176,0,0,1.017523,1.011307,5.332234,0.0177,0,0,906.021,373.326,380.913,1063.52,0,0
,,865,20.77545866,131.689059,0,0,1.017012,1.009868,5.39327,0.0177,0,0,906.178,373.293,380.907,1063.552,0,0
,,866,20.77532075,130.832035,0,0,1.017019,1.004596,5.298441,0.0164,0,0,902.014,373.269,380.92,1063.606,0,0
,,867,20.77651986,131.293593,0,0,1.016267,1.01286,5.307157,0.0176,0,0,896.677,373.269,380.916,1063.645,0,0
,,868,20.77679567,132.000515,0,0,1.016535,1.002353,5.313657,0.0168,0,0,906.323,373.236,380.859,1063.668,0,0
,,869,20.77620556,131.703588,0,0,1.015876,1.006109,5.216582,0.0183,0,0,911.893,373.156,380.791,1063.681,0,0
,,870,20.77605821,131.008209,0,0,1.015336,1.01002,5.263502,0.0165,0,0,921.944,373.102,380.726,1063.706,0,0
,,871,20.77545866,130.667846,0,0,1.014457,0.999493,5.234498,0.019,0,0,911.148,373.063,380.669,1063.75,0,0
,,872,20.77771896,130.731687,0,0,1.013734,1.011163,5.171781,0.0188,0,0,911.604,372.995,380.605,1063.747,0,0
,,873,20.77827058,130.861436,0,0,1.013587,1.00428,5.235908,0.0185,0,0,901.054,372.964,380.543,1063.752,0,0
,,874,20.77827058,130.825551,0,0,1.013957,1.00375,5.159884,0.0156,0,0,936.387,372.917,380.528,1063.734,0,0
,,875,20.77797081,131.067796,0,0,1.01341,1.012738,5.15577,0.0184,0,0,914.064,372.903,380.486,1063.773,0,0
,,876,20.77760208,132.158127,0,0,1.013007,0.999369,5.187184,0.0158,0,0,909.948,372.876,380.463,1063.823,0,0
,,877,20.77753313,131.559084,0,0,1.013086,1.003168,5.074005,0.0168,0,0,899.741,372.849,380.429,1063.836,0,0
,,878,20.77783178,131.227795,0,0,1.012514,1.006121,5.094451,0.0195,0,0,902.535,372.801,380.381,1063.889,0,0
,,879,20.77819691,129.928081,0,0,1.01244,0.999723,5.116098,0.0172,0,0,908.259,372.776,380.335,1063.937,0,0
,,880,20.77856924,130.513393,0,0,1.011711,1.002555,5.008894,0.0159,0,0,905.635,372.723,380.3,1063.99,0,0
,,881,20.77803976,131.739469,0,0,1.011442,1.00564,5.092803,0.0173,0,0,904.213,372.687,380.277,1064.013,0,0
,,882,20.77731174,131.871762,0,0,1.010751,1.000778,5.037089,0.0181,0,0,897.681,372.687,380.258,1064.037,0,0
,,883,20.77746305,131.765943,0,0,1.009674,1.001695,4.985236,0.0171,0,0,912.977,372.648,380.239,1064.057,0,0
,,884,20.77782818,131.78805,0,0,1.009575,1.003777,5.05832,0.0166,0,0,917.335,372.662,380.23,1064.078,0,0
,,885,20.77819573,131.470061,0,0,1.009397,0.995982,4.966249,0.0184,0,0,912.111,372.68,380.234,1064.135,0,0
,,886,20.77856446,131.883616,0,0,1.00877,1.002744,4.946635,0.0177,0,0,903.261,372.665,380.217,1064.135,0,0
,,887,20.77805156,132.867911,0,0,1.0089,1.003892,5.024407,0.0165,0,0,916.258,372.643,380.202,1064.083,0,0
,,888,20.77730454,133.049378,0,0,1.008737,0.99462,4.906666,0.0166,0,0,914.649,372.643,380.218,1064.056,0,0
,,889,20.77745945,131.468088,0,0,1.007436,1.00228,4.910499,0.0175,0,0,905.613,372.661,380.232,1063.988,0,0
,,890,20.77812088,131.263231,0,0,1.007768,0.996758,4.930997,0.0169,0,0,904.944,372.705,380.241,1063.967,0,0
,,891,20.77827058,131.963416,0,0,1.007266,0.996057,4.83498,0.0181,0,0,903.475,372.686,380.21,1063.972,0,0
,,892,20.77827058,131.773185,0,0,1.006223,1.006126,4.907021,0.0164,0,0,895.694,372.632,380.14,1063.948,0,0
,,893,20.77797671,130.996411,0,0,1.00568,0.993787,4.891699,0.0159,0,0,915.961,372.634,380.171,1063.957,0,0
,,894,20.7776032,131.065232,0,0,1.005458,0.99743,4.770523,0.0153,0,0,904.961,372.632,380.177,1063.967,0,0
,,895,20.77782818,131.404016,0,0,1.004663,1.000724,4.879806,0.0161,0,0,911.511,372.612,380.141,1063.91,0,0
,,896,20.77999244,131.783834,0,0,1.00445,0.993246,4.795698,0.0177,0,0,904.288,372.603,380.13,1063.834,0,0
,,897,20.78077801,131.699947,0,0,1.004122,0.996507,4.749621,0.0165,0,0,906.001,372.564,380.094,1063.818,0,0
,,898,20.78085168,131.703439,0,0,1.004321,0.999581,4.836913,0.0172,0,0,900.74,372.531,380.032,1063.788,0,0
,,899,20.77996652,131.884065,0,0,1.003464,0.993785,4.740714,0.0177,0,0,901.82,372.508,380.019,1063.751,0,0
